experiment,model,noise_rate,id_test_auc,id_test_accuracy,equality_opportunity,demographic_parity_diff,equalized_odds_ratio,predictive_parity_diff
acsunemployment,ft_transformer,0.3,0.8304770011121085,0.9484936831875608,0.0,2.6549142462698457e-05,2.7873010563871005e-05,0.0
acsunemployment,ft_transformer,0.3,0.8296743009521632,0.9484875711290806,0.0,2.6549142462698457e-05,2.7873010563871005e-05,0.0
acsincome,ft_transformer,0.0,0.8946370368713158,0.8152441675119548,0.0768872540089079,0.1039988780713563,0.1260763183341491,0.001704930150993
acsincome,ft_transformer,0.0,0.8937161441538597,0.8134921157671484,0.0763295177840519,0.1018858339781568,0.1233653704897294,0.0035235537212855
acsincome,ft_transformer,0.0,0.8816493566091534,0.8078144142482644,0.0845361239700828,0.1158965826902586,0.1471593630259468,0.0036724997221196
acsincome,ft_transformer,0.0,0.8808403578440922,0.8088551066380366,0.0747766098520833,0.110264391951091,0.1336261757434522,0.0046665368108383
acsincome,ft_transformer,0.0,0.8808098520473269,0.8070108416435036,0.0703216785890911,0.1093941796333898,0.1292085403997677,0.0090223838923138
acsincome,ft_transformer,0.3,0.8914925134346764,0.8057066828259409,0.2555284303883368,0.1756324288472048,0.3405796364470581,0.0893430550857438
acsincome,ft_transformer,0.3,0.8913186538646254,0.8043234840800411,0.2857380386718715,0.1853114502175454,0.3736613022312486,0.1022808230754785
acsincome,ft_transformer,0.3,0.8786881737995843,0.8016229531951891,0.1630743305107799,0.1547822970109826,0.2513972871853941,0.0371727935411134
acsincome,ft_transformer,0.3,0.8785542567870432,0.7924279748653028,0.1953318922886532,0.1505459443025098,0.2706234550921103,0.0512085232270496
acsincome,ft_transformer,0.3,0.8783588595778489,0.7994888751300866,0.207870548804029,0.1507298301937642,0.2799516322535741,0.0508614693754921
acsfoodstamps,ft_transformer,0.0,0.8442084127050054,0.8170751667416833,0.0692549839211978,0.0677981030884493,0.1007259647383618,0.0194841053191557
acsfoodstamps,ft_transformer,0.0,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.0,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.0,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.0,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.3,0.8379448094052548,0.8101804492818855,0.2326095846685929,0.0546678748949278,0.2666385185177311,0.1836950146627566
acsfoodstamps,ft_transformer,0.3,0.8379406927704668,0.8102418265886493,0.2273500747849272,0.0509090673123962,0.2539251334988925,0.1592903287518783
acsfoodstamps,ft_transformer,0.3,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.3,,,0.0,,0.0,0.0
acsfoodstamps,ft_transformer,0.3,,,0.0,,0.0,0.0
acspubcov,ft_transformer,0.0,0.7992812431164779,0.6723101395442102,0.0937362523408461,0.0816709065389855,0.1376853098273792,0.0030400673969716
acspubcov,ft_transformer,0.0,0.7992484834448548,0.6809275722388575,0.0051388357005362,0.0004556206435168,0.0071978007610951,0.0124135435544127
acspubcov,ft_transformer,0.0,0.7988178535523169,0.6686665598861442,0.0876469949080033,0.0773802538833242,0.1284525982508723,0.0058312030758066
acspubcov,ft_transformer,0.0,0.7985448840227761,0.6700225094971494,0.0071527046042575,0.0001873350049079,0.0089641378986286,0.0130795223403391
acspubcov,ft_transformer,0.0,0.7434430137533036,0.4915983699260402,0.0014317973777265,0.0002710987126097,0.0021888423430072,0.0072874328103793
acspubcov,ft_transformer,0.3,0.7708827312572204,0.6880411113162492,0.0037949485807404,0.0011527994908323,0.0063630186681538,0.008389016550483
acspubcov,ft_transformer,0.3,0.7119686364141988,0.5045880982103665,0.0002555448141443,0.0013556801874282,0.0019212034480332,0.003024871176846
